Wal-Mart Address,Latitude,Longitude
"3705 E. South, Long Beach, CA",33.8614676,-118.1477091
"7750 Carson, Long Beach, CA",33.8305244,-118.0915797
"1575 West Pacheco, Los Banos, CA",37.0562356,-120.8672273
"1977 West Cleveland, Madera, CA",36.9756406,-120.0806237
"1205 South Main, Manteca, CA",37.7854868,-121.2185814
"150 Beach, Marina, CA",36.6931162,-121.8011228
"10355 Wicklow, Martell, CA",38.3575989,-120.8058584
"1021 Arnold, Martinez, CA",37.9969146,-122.1093954
"1131 N Beale, Marysville, CA",39.1272818,-121.5743028
"3055 Loughborough, Merced, CA",37.3180938,-120.5019281
"301 Ranch, Milpitas, CA",37.4315336,-121.9211563
"1421 Coffee, Modesto, CA",37.6645758,-120.9765889
"2225 Plaza, Modesto, CA",37.6727547,-121.036777
"3848 Mchenry, Modesto, CA",37.6946246,-120.9926539
"12721 Moreno Beach, Moreno Valley, CA",33.9357792,-117.1818979
"170 Cochrane, Morgan Hill, CA",37.1471847,-121.6614457
"600 Showers, Mountain View, CA",37.4008785,-122.109694
"41200 Murrieta Hot springs, Murrieta, CA",33.5526318,-117.192676
"681 Lincoln, Napa, CA",38.309091,-122.2832088
"1200 Highland, National City, CA",32.6747492,-117.0993218
"11729 Imperial, Norwalk, CA",33.918305,-118.082912
"1046 Mission, Oceanside, CA",33.1999892,-117.3750631
"2100 Vista, Oceanside, CA",33.1812207,-117.3473018
"3405 Marron, Oceanside, CA",33.1770595,-117.2977385
"705 College, Oceanside, CA",33.241165,-117.291043
"2300 N Tustin, Orange, CA",33.8281166,-117.8385721
"8961 Greenback, Orangevale, CA",38.6794052,-121.2225725
"355 Oro Dam, Oroville, CA",39.4966195,-121.5734157
"2001 North Rose, Oxnard, CA",34.2200397,-119.1614606
"2701 Saviers, Oxnard, CA",34.174553,-119.179561
"421 W. Esplanade, Oxnard, CA",34.2370089,-119.178788
"34500 Monterey, Palm Desert, CA",33.7981075,-116.3848383
"72314 Highway, Palm Desert, CA",34.0333436,-116.5918744
"5601 e Ramon, Palm Springs, CA",33.8145205,-116.4864292
"320 West Avenue, Palmdale, CA",34.5579103,-118.1361242
"37140 47th Street, Palmdale, CA",34.5568342,-118.04224
"3875 Rancho Vista, Palmdale, CA",34.6141299,-118.2001019
"14530 Nordoff, Panorama City, CA",34.2344671,-118.4485912
"8333 Van Nuys, Panorama City, CA",34.2293749,-118.4502692
"14501 Lakewood, Paramount, CA",33.9024133,-118.1452854
"180 Niblick, Paso Robles, CA",35.6126273,-120.6815799
"1030 Sperry, Patterson, CA",37.4623134,-121.1427481
"1800 N. Perris, Perris, CA",33.8187664,-117.2272666
"8500 Washington, Pico Rivera, CA",33.984977,-118.1051175
"2203 Loveridge, Pittsburg, CA",38.0089726,-121.8681089
"4300 Missouri Flat, Placerville, CA",38.7041922,-120.8293052
"3112 Santa Rita, Pleasanton, CA",37.6900655,-121.8770764
"4501 Rosewood, Pleasanton, CA",37.6984713,-121.8873308
"778 E. Arrow, Pomona, CA",34.0886074,-117.737487
"80 Rio Rancho, Pomona, CA",34.0291864,-117.7577354
"19821 Rinaldi, Porter Ranch, CA",34.2777053,-118.5674151
"1250 West Henderson, Porterville, CA",36.0833683,-119.0454704
"13425 Community, Poway, CA",32.9591267,-117.0376306
"10655 Folsom, Rancho Cordova, CA",38.5960865,-121.2918238
"12549 Foothill, Rancho Cucamonga, CA",34.1034711,-117.5314246
"1025 South, Red Bluff, CA",39.9257969,-122.1791268
"1515 Dana, Redding, CA",40.5839803,-122.3433154
"2050 West Redlands, Redlands, CA",34.0650903,-117.2228207
"1610 South Riverside, Rialto, CA",34.071887,-117.3720809
"300 W. Baseline, Rialto, CA",34.1227709,-117.3741951
"1400 Hilltop Mall, Richmond, CA",37.979829,-122.328381
"911 South China Lake, Ridgecrest, CA",35.606982,-117.6733961
"5200 Van Buren, Riverside, CA",33.9370944,-117.4552358
"6250 Valley Springs, Riverside, CA",33.9385182,-117.2861851
"5454 Crossings, Rocklin, CA",38.8027131,-121.2019264
"5609 Pacific, Rocklin, CA",38.7840114,-121.2395545
"4625 Redwood, Rohnert Park, CA",38.367463,-122.7164204
"901 Golf Course, Rohnert Park, CA",38.3615516,-122.6924655
"1827 Walnut Grove, Rosemead, CA",34.0504782,-118.0848652
"1400 Lead Hill, Roseville, CA",38.7473966,-121.2567807
"900 Pleasant Grove, Roseville, CA",38.787883,-121.2897453
"2700 Marconi, Sacramento, CA",38.6169141,-121.3989958
"3460 El Camino, Sacramento, CA",38.6089002,-121.3841567
"3661 Truxel, Sacramento, CA",38.6355678,-121.5059156
"5821 Antelope, Sacramento, CA",38.7041777,-121.3319189
"6051 Florin, Sacramento, CA",38.4994028,-121.4335748
"8915 Gerber, Sacramento, CA",38.482687,-121.369899
"1375 N Davis, Salinas, CA",36.7057894,-121.6687788
"1800 N, Salinas, CA",33.9096706,-118.2608548
"4001 Hallmark, San Bernardino, CA",34.165388,-117.3361104
"951 Avenida, San Clemente, CA",33.4344115,-117.6138437
"2121 Imperial, San Diego, CA",32.7057289,-117.1444271
"3382 Murphy Canyon, San Diego, CA",32.805204,-117.1163472
"3412 College, San Diego, CA",32.7415072,-117.0536178
"4840 Shawline, San Diego, CA",32.8295667,-117.1648867
"575 Saturn, San Diego, CA",32.586959,-117.0892615
"710 Dennery, San Diego, CA",32.5814327,-117.0355182
"1861 S Jancinto, San Jacinto, CA",33.7679517,-116.9555453
"1450 Monterey, San Jose, CA",37.3154997,-121.8728929
"1600 Saratoga, San Jose, CA",37.2912864,-121.9896046
"4055 Evergreen Village, San Jose, CA",37.313593,-121.7731222
"4080 Stevens Creek, San Jose, CA",37.3217542,-121.9732432
"5095 Almaden, San Jose, CA",37.2554222,-121.8801746
"777 Story, San Jose, CA",37.3310001,-121.860433
"15555 Hesperian, San Leandro, CA",37.6882014,-122.1316096
"1919 Davis, San Leandro, CA",37.7147061,-122.1777396
"732 Center, San Marcos, CA",33.1356823,-117.1231366
"9100 Alcosta, San Ramon, CA",37.7292019,-121.9293408
"2761 Jensen, Sanger, CA",36.7056299,-119.5776708
"3600 West Mcfadden, Santa Ana, CA",33.7373373,-117.9152328
"3255 Mission College, Santa Clara, CA",37.3899444,-121.9850735
"26471 Carl Boyer, Santa Clarita, CA",34.4138429,-118.5060345
"27931 Kelly Johnson, Santa Clarita, CA",34.444003,-118.5760265
"13310 Telegraph, Santa Fe Springs, CA",33.9408239,-118.0497881
"2220 South, Santa Maria, CA",38.0134338,-121.9329865
"2240 S Bradley, Santa Maria, CA",34.9188915,-120.4190947
"170 Town Center, Santee, CA",32.8421663,-116.9902967
"3400 Floral, Selma, CA",36.5772308,-119.6344468
"255 Cochran, Simi Valley, CA",34.2820344,-118.7920914
"2801 E. Cochran, Simi Valley, CA",34.2797774,-118.7412184
"1101 Sanguinetti, Sonora, CA",37.9716599,-120.3658507
"12840 Beach, Stanton, CA",33.7749806,-117.9911238
"25450 The Old, Stevenson Ranch, CA",34.3835096,-118.5691857
"1189 E March, Stockton, CA",38.0040956,-121.292459
"3223 East Hammer, Stockton, CA",38.0235048,-121.2735001
"350 Walters, Suisun City, CA",38.2426663,-121.9902421
"2900 Main, Susanville, CA",40.4089259,-120.6375263
"32225 HWY 79, Temecula, CA",33.4823996,-117.0929783
"512 North Ventu Park, Thousand Oaks, CA",34.1862269,-118.9090747
"19340 Hawthorne, Torrance, CA",33.8552323,-118.3523222
"19503 South Normandie, Torrance, CA",33.8570983,-118.3002595
"22015 Hawthorne, Torrance, CA",33.8277363,-118.3530776
"3010 W Grant Line, Tracy, CA",37.7515205,-121.4719682
"1110 E Prosperity, Tulare, CA",36.2286036,-119.329078
"2111 Fulkerth, Turlock, CA",37.509403,-120.8729178
"2480 Geer, Turlock, CA",37.515606,-120.8470896
"1155 Airport Park, Ukiah, CA",39.1337295,-123.1970321
"30600 Dyer, Union City, CA",37.6046811,-122.0674112
"1445 East Foothill, Upland, CA",34.1084538,-117.6299862
"1540 W Foothill, Upland, CA",34.1059289,-117.6784089
"1501 Helen Power, Vacaville, CA",38.362097,-121.9590154
"2050 Nut Tree, Vacaville, CA",38.3505683,-121.9511548
"941 Alamo, Vacaville, CA",38.3446318,-121.9958728
"501 Sereno, Vallejo, CA",38.1264471,-122.2543711
"1739 S Victoria, Ventura, CA",34.2579803,-119.2128975
"11896 Amargosa, Victorville, CA",34.4651377,-117.3544108
"12234 Palmdale, Victorville, CA",34.5093255,-117.3968456
"1819 East Noble, Visalia, CA",36.324338,-119.2731642
"1800 University, Vista, CA",33.1726134,-117.2167834
"2753 E Eastland Center, West Covina, CA",34.0737179,-117.8858992
"6433 Fallbrook, West Hills, CA",34.1878862,-118.6254349
"755 Riverpoint, West Sacramento, CA",38.5873369,-121.5500372
"13331 Beach, Westminster, CA",33.7678387,-117.9930222
"470 Airport, Willows, CA",39.5258195,-122.2175524
"6650 Hembree, Windsor, CA",38.5286806,-122.7901716
"1720 East Main, Woodland, CA",38.6754298,-121.7410046
"215 California, Woodland, CA",38.6813484,-121.7885473
"1906 Fort Jones, Yreka, CA",41.6986636,-122.6444778
"1150 Harter, Yuba City, CA",39.1447109,-121.6541718
"58501 Twentynine Palms, Yucca Valley, CA",34.1322392,-116.3844271
